year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn
1995,F,1995-10-25,JC,2,2,59,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,60,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,68,N,PGFL,M,A,10,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,70,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,71,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,79,Y,PELE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,83,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,98,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,99,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,100,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,101,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,104,N,REME,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-25,JC,2,2,107,N,PELE,M,A,22,Y,S,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,130,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,132,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,142,N,REME,F,A,20,Y,P,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,12,N,DIME,M,A,47,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,17,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,22,NA,DIME,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-25,JC,2,3,48,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,70,N,SPSP,F,A,68,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,93,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,105,N,DIME,F,A,44,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,106,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,113,Y,PELE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,126,N,ONAR,NA,NA,18,N,NA,Y,M,NA,NA,NA
1995,F,1995-10-25,JC,2,3,129,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,131,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,142,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,3,143,N,NEAL,NA,J,120,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,6,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,7,N,NEAL,F,A,155,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,12,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,18,N,NEAL,F,A,0,N,NA,Y,M,NA,8,NA
1995,F,1995-10-26,JC,3,1,19,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,20,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,21,N,DIME,NA,A,36,N,NA,Y,M,NA,NA,NA
1995,F,1995-10-26,JC,3,1,22,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,34,N,NEAL,NA,J,80,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,39,N,DIME,M,A,43,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,41,N,DIME,F,A,39,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,42,N,DIME,F,A,36,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,44,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,47,N,DIME,NA,J,33,N,NA,NA,NA,NA,NA,NA
