year,season,date,habitat,night,web,trap,recap,species,sex,age,weight_g
1996,F,1996-10-17,JC,2,1,93,N,DIME,NA,J,21
1996,F,1996-10-17,JC,2,1,94,N,NEAL,F,A,175
1996,F,1996-10-17,JC,2,1,100,N,DIME,M,A,41
1996,F,1996-10-17,JC,2,1,120,N,NEAL,M,A,170
1996,F,1996-10-17,JC,2,1,126,N,ONAR,NA,J,34
1996,F,1996-10-18,JC,3,1,31,N,NEAL,NA,J,110
1996,F,1996-10-18,JC,3,1,49,N,PELE,M,A,22
1996,F,1996-10-18,JC,3,1,80,N,DIME,M,A,41
1996,F,1996-10-18,JC,3,1,84,N,ONAR,F,A,21
1996,F,1996-10-18,JC,3,1,96,N,DIME,M,A,37
1996,F,1996-10-18,JC,3,1,132,N,ONAR,M,A,20
1996,F,1996-10-18,JC,3,1,140,N,ONAR,F,A,19
1996,F,1996-10-18,JC,3,2,28,N,CHPE,M,A,13
1996,F,1996-10-18,JC,3,2,32,N,ONAR,M,A,14
1996,F,1996-10-18,JC,3,2,34,N,ONAR,M,A,22
1996,F,1996-10-18,JC,3,2,35,N,NEAL,F,A,125
1996,F,1996-10-18,JC,3,2,61,N,ONAR,F,A,14
1996,F,1996-10-18,JC,3,2,84,N,DIME,F,A,41
1996,F,1996-10-18,JC,3,2,127,N,ONAR,F,A,15
1996,F,1996-10-18,JC,3,2,133,N,CHPE,M,A,14
1996,F,1996-10-18,JC,3,2,143,N,ONAR,F,A,15
1996,F,1996-10-18,JC,3,3,22,N,NEAL,F,A,160
1996,F,1996-10-18,JC,3,3,36,N,DIME,M,A,54
1996,F,1996-10-18,JC,3,3,59,N,SPSP,M,A,91
1996,F,1996-10-18,JC,3,3,78,N,DIME,NA,J,34
1996,F,1996-10-18,JC,3,3,82,N,PELE,F,A,34
1996,F,1996-10-18,JC,3,3,90,N,PGFL,F,A,9
1996,F,1996-10-18,JC,3,3,92,N,DIME,F,A,42
1996,F,1996-10-18,JC,3,3,92,N,DIME,F,A,45
1996,F,1996-10-18,JC,3,3,93,N,DIME,F,A,42
1996,F,1996-10-18,JC,3,3,95,N,DIME,F,A,45
1996,F,1996-10-18,JC,3,3,103,N,CHPE,M,A,74
1996,F,1996-10-18,JC,3,3,128,N,ONAR,F,A,22
1996,F,1996-10-18,JC,3,3,130,N,DIME,F,A,55
1996,F,1996-10-18,JC,3,3,131,N,DIME,F,A,57
1996,F,1996-10-18,JC,3,3,132,N,NEAL,F,A,232
