year,night,web,recap,species,mass_g
1989,3,3,n,PGFV,7
1989,3,3,n,PGFV,8
1989,3,3,n,DISP,125
1989,3,3,n,PGFV,6
1989,3,3,n,DISP,80
1989,3,3,n,PGFV,7
1989,3,3,n,PGFV,6
1989,3,3,n,PGFV,7
1989,3,3,n,PGFV,7
1989,3,3,n,REME,6.5
1989,3,3,n,DIOR,49
1989,3,3,n,PGFV,7
1989,3,4,n,PGFV,4.5
1989,3,5,n,PGFV,11
1989,3,5,n,DIOR,48
1989,3,5,n,DISP,140
1989,3,5,n,DISP,130
1989,3,5,n,PGFV,8
1989,3,5,n,REME,4
1989,3,5,n,PGFV,7
1989,3,5,n,ONAR,11
