year,species,abundance,trap_nights,abund_per_trapnight
1999,leucodon,63,1305,0.04827586206896552
1999,leucogaster,7,1305,0.0053639846743295016
1999,leucopus,35,1305,0.02681992337164751
1999,megalotis,1,1305,7.662835249042146e-4
1999,merriami,201,1305,0.15402298850574714
1999,micropus,12,1305,0.009195402298850575
1999,ordii,34,1305,0.026053639846743294
1999,spectabilis,63,1305,0.04827586206896552
2000,arenicola,24,1305,0.01839080459770115
2000,boylii,20,1305,0.01532567049808429
2000,eremicus,4,1305,0.0030651340996168583
2000,leucodon,35,1305,0.02681992337164751
2000,leucogaster,1,1305,7.662835249042146e-4
2000,leucopus,6,1305,0.004597701149425287
2000,megalotis,1,1305,7.662835249042146e-4
2000,merriami,216,1305,0.16551724137931034
2000,micropus,9,1305,0.006896551724137931
2000,ordii,42,1305,0.03218390804597701
2000,spectabilis,65,1305,0.04980842911877394
2001,arenicola,3,1305,0.0022988505747126436
2001,boylii,2,1305,0.0015325670498084292
2001,flavus,10,1305,0.007662835249042145
2001,leucodon,13,1305,0.00996168582375479
2001,leucogaster,9,1305,0.006896551724137931
2001,leucopus,2,1305,0.0015325670498084292
2001,megalotis,3,1305,0.0022988505747126436
2001,merriami,98,1305,0.07509578544061303
2001,ordii,23,1305,0.017624521072796936
2001,spectabilis,36,1305,0.027586206896551724
2002,arenicola,19,1305,0.014559386973180077
2002,boylii,7,1305,0.0053639846743295016
2002,eremicus,2,1305,0.0015325670498084292
2002,flavus,10,1305,0.007662835249042145
2002,leucodon,5,1305,0.0038314176245210726
2002,leucogaster,7,1305,0.0053639846743295016
2002,leucopus,1,1305,7.662835249042146e-4
2002,megalotis,3,1305,0.0022988505747126436
2002,merriami,146,1305,0.11187739463601533
2002,micropus,1,1305,7.662835249042146e-4
2002,ordii,22,1305,0.01685823754789272
2002,spectabilis,38,1305,0.029118773946360154
2003,arenicola,72,1305,0.05517241379310345
2003,boylii,18,1305,0.013793103448275862
2003,eremicus,24,1305,0.01839080459770115
2003,flavus,8,1305,0.006130268199233717
2003,leucodon,6,1305,0.004597701149425287
2003,leucogaster,11,1305,0.00842911877394636
2003,leucopus,5,1305,0.0038314176245210726
2003,megalotis,14,1305,0.010727969348659003
2003,merriami,285,1305,0.21839080459770116
2003,micropus,3,1305,0.0022988505747126436
2003,ordii,58,1305,0.044444444444444446
2003,spectabilis,57,1305,0.04367816091954023
2004,arenicola,42,1305,0.03218390804597701
2004,boylii,7,1305,0.0053639846743295016
2004,eremicus,1,1305,7.662835249042146e-4
2004,flavus,5,1305,0.0038314176245210726
2004,leucodon,12,1305,0.009195402298850575
2004,leucogaster,4,1305,0.0030651340996168583
2004,merriami,142,1305,0.10881226053639846
2004,micropus,3,1305,0.0022988505747126436
2004,ordii,10,1305,0.007662835249042145
2004,spectabilis,65,1305,0.04980842911877394
2005,arenicola,19,1305,0.014559386973180077
2005,boylii,15,1305,0.011494252873563218
2005,eremicus,1,1305,7.662835249042146e-4
2005,flavus,8,1305,0.006130268199233717
2005,leucodon,12,1305,0.009195402298850575
2005,leucogaster,6,1305,0.004597701149425287
2005,leucopus,1,1305,7.662835249042146e-4
2005,merriami,311,1305,0.23831417624521073
2005,micropus,18,1305,0.013793103448275862
2005,ordii,15,1305,0.011494252873563218
2005,spectabilis,96,1305,0.0735632183908046
2006,arenicola,13,1305,0.00996168582375479
2006,boylii,4,1305,0.0030651340996168583
2006,flavus,3,1305,0.0022988505747126436
2006,leucodon,3,1305,0.0022988505747126436
2006,leucogaster,5,1305,0.0038314176245210726
2006,megalotis,2,1305,0.0015325670498084292
2006,merriami,255,1305,0.19540229885057472
2006,micropus,4,1305,0.0030651340996168583
2006,ordii,30,1305,0.022988505747126436
2006,spectabilis,109,1305,0.08352490421455938
2007,arenicola,43,1305,0.03295019157088123
2007,boylii,17,1305,0.013026819923371647
2007,eremicus,38,1305,0.029118773946360154
2007,flavus,2,1305,0.0015325670498084292
2007,hispidus,1,1305,7.662835249042146e-4
2007,leucodon,23,1305,0.017624521072796936
2007,leucogaster,46,1305,0.03524904214559387
2007,leucopus,9,1305,0.006896551724137931
2007,megalotis,46,1305,0.03524904214559387
2007,merriami,548,1305,0.4199233716475096
2007,ordii,147,1305,0.11264367816091954
2007,spectabilis,104,1305,0.07969348659003832
2008,arenicola,10,1305,0.007662835249042145
2008,boylii,8,1305,0.006130268199233717
