trap_check_date,year,month,day,genus,species,recapture,sex,age,mass_g,reprod_cond,web_trap_number,comments,rhf,body,tail
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,SA,12,NA,127,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,21,ST,131,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,20,ST,132,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,Y,NA,NA,NA,NA,39,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,Y,NA,NA,NA,NA,83,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,M,A,43,ST,11,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,F,A,39,NA,35,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,M,A,45,ST,69,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,F,A,40,NA,72,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,F,A,40,NA,94,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,F,A,39,NA,120,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,N,F,A,39,NA,132,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,6,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,9,"Clear, warm day; clear, moonlit sky last night.",NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,17,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,18,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,20,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,52,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,53,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,67,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,79,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,98,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,130,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,141,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,142,NA,NA,NA,NA
1992-03-21,1992,3,21,Dipodomys,merriami,Y,NA,NA,NA,NA,NA,Trap # not recorded.,NA,NA,NA
1992-03-21,1992,3,21,Onychomys,torridus,Y,NA,NA,NA,NA,74,NA,NA,NA,NA
1992-03-21,1992,3,21,Perognathus,amplus,Y,NA,NA,NA,NA,66,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,36,NA,7,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,NA,A,38,NA,9,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,F,A,25,NA,33,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,32,ST,43,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,42,NA,45,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,32,NA,72,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,26,ST,76,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,32,NA,82,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,36,ST,102,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,28,NA,119,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,F,A,29,NA,126,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,32,ST,128,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,M,A,35,ST,135,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,baileyi,N,F,A,25,NA,141,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,A,18,ST,35,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,A,23,ST,37,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,A,19,ST,39,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,A,17,ST,42,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,A,22,NA,48,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,SA,12,NA,64,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,M,A,23,NA,71,NA,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,NA,A,21,NA,105,Sex not recorded.,NA,NA,NA
1993-03-19,1993,3,19,Chaetodipus,penicillatus,N,F,A,20,NA,123,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,37,NA,6,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,42,ST,8,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,37,NA,20,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,39,NA,27,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,36,NA,41,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,37,ST,52,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,37,ST,53,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,38,NA,54,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,J,21,NA,55,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,42,ST,57,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,38,NA,60,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,37,NA,67,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,F,A,36,NA,77,NA,NA,NA,NA
1993-03-19,1993,3,19,Dipodomys,merriami,N,M,A,38,ST,80,NA,NA,NA,NA
